gender,state,deviceinfo_deviceid,deviceinfo_model,test,num_session,total_time
Male,MN,3.58E+14,SM-G930T,744.7051075,8738,4604595000
Female,IL,3.58E+14,SM-G935V,870.306321,8682,6782081000
Female,TX,3.57E+14,SAMSUNG-SM-G930A,113.976914,8678,5914591000
Female,IN,9.90E+14,SM-G900V,32.42214005,8643,2328579000
Male,VA,3.57E+14,SAMSUNG-SM-G935A,379.8860725,8638,5417171000
Female,NY,3.55E+14,SM-G930V,997.7287057,8628,1717311000
Male,TN,3.55E+14,SM-G930V,563.0698748,8617,3161211000
Male,CA,9.90E+14,SM-N920V,145.4062348,8613,9801843000
Male,HI,9.90E+14,SM-G928V,943.4307314,8612,6229252000
Female,MI,9.90E+14,SM-G928P,778.8196293,8590,6588711000
Male,LA,3.56E+14,SM-G930P,7.815190454,8545,7893424000
Male,IN,3.57E+14,SAMSUNG-SM-G935A,217.660221,8523,4558357000
Male,CA,3.58E+14,SM-G935V,485.9549875,8500,7372971000
Male,OH,3.53E+14,SAMSUNG-SM-G900A,825.2958648,8489,2868778000
Male,IL,9.90E+14,SM-G928V,381.3784189,8484,5033698000
Female,CT,3.55E+14,SM-G930V,960.8238271,8476,5975165000
Female,NY,3.57E+14,SM-G935P,648.8344863,8464,5648909000
Female,NJ,3.53E+14,SAMSUNG-SM-G900A,380.0901713,8462,6827433000
Female,MD,9.90E+14,SM-G928V,772.2158127,8427,7362913000
Female,MD,3.55E+14,SM-G935V,83.67101978,8423,5777189000
Male,MI,9.90E+14,SM-G925V,913.4583438,8416,5461018000
Male,MO,9.90E+14,SM-G900V,817.4503521,8403,1630177000
Female,SC,9.90E+14,SM-G928V,815.5089548,8397,3732499000
Male,PA,3.54E+14,SM-G928T,880.374349,8390,6633867000
Male,FL,3.54E+14,SAMSUNG-SM-N920A,891.7476021,8377,7931531000
Male,NE,3.54E+14,SAMSUNG-SM-G928A,869.2357059,8351,3120628000
Male,NJ,9.90E+14,SM-G925P,409.5515742,8344,7077671000
Male,IL,3.54E+14,SAMSUNG-SM-G928A,333.593064,8333,2429785000
Female,CA,3.57E+14,SAMSUNG-SM-G935A,152.5571168,8332,6001364000
Female,TX,9.90E+14,SM-N920P,876.0175609,8329,9031223000
Male,FL,3.54E+14,SAMSUNG-SM-N920A,421.1779182,8328,5290493000
Male,CO,3.55E+14,SM-G930V,416.4659099,8328,6882832000
Female,CA,3.55E+14,SM-G935V,729.7250407,8326,3203099000
Male,TX,3.54E+14,SM-G928T,953.075043,8313,7087493000
Female,NY,9.90E+14,SM-G900V,882.2035462,8311,1528421000
Female,MI,3.52E+14,SAMSUNG-SM-G935A,161.4015439,8304,2624024000
Male,OH,3.56E+14,SM-G930P,807.1866754,8302,7553582000
Female,OH,3.52E+14,SM-G900T,819.6602687,8299,3243518000
Female,OH,3.58E+14,SAMSUNG-SM-G935A,204.9699478,8294,6404354000
Female,NC,9.90E+14,SM-G928V,513.9642007,8288,6665588000
Female,TX,3.52E+14,SM-G900T,204.4005881,8287,6240697000
Male,WI,9.90E+14,SM-N910P,692.5774857,8282,6473963000
Female,VA,3.54E+14,SAMSUNG-SM-G928A,892.8518844,8265,4820934000
Female,AZ,9.90E+14,SM-N920V,736.3541364,8249,5163048000
Female,AL,3.54E+14,SAMSUNG-SM-N920A,167.1652722,8248,5398483000
Male,NJ,3.58E+14,SM-G955U,592.1518786,8211,1960766000
Male,OH,9.90E+14,SM-G928V,854.54211,8199,2520990000
Male,GA,3.56E+14,SM-G930P,411.7816576,8190,5554485000
Male,PA,3.58E+14,SAMSUNG-SM-G935A,685.0984778,8170,4564590000
Female,HI,3.53E+14,SM-G930V,823.1525309,8146,5135933000
Female,MI,9.90E+14,SM-G925V,413.8304841,8143,4237713000
Female,VA,3.57E+14,SAMSUNG-SM-G935A,694.3807266,8138,7381532000
Male,FL,3.53E+14,SM-G930V,274.7461416,8135,2436826000
Female,OH,3.55E+14,SM-G930V,576.6694844,8133,4043114000
Female,GA,3.57E+14,SAMSUNG-SM-G930A,838.7842727,8121,4226781000
Female,UT,3.60E+14,SM-G925T,342.5708714,8113,4488929000
Female,MN,3.58E+14,SM-G930T,492.9362568,8098,6105394000
Female,NJ,9.90E+14,SM-G925P,640.2400862,8097,7393333000
Male,GA,3.58E+14,SAMSUNG-SM-G935A,772.1955994,8091,4473553000
Female,IL,3.58E+14,SM-G930T,74.53531163,8086,4323382000
Male,OR,9.90E+14,SM-N920P,727.8349306,8077,6720112000
Male,VA,3.56E+14,SM-G930P,712.8350603,8072,5274485000
Male,NY,3.58E+14,SM-G935T,113.6037385,8062,3257254000
Female,UT,3.54E+14,SM-N920T,587.7033606,8043,6300192000
Male,NE,9.90E+14,SM-G928V,740.5386752,8001,5310536000
Female,TX,3.57E+14,SAMSUNG-SM-G930A,459.7978686,7995,7039301000
Male,TX,3.58E+14,SM-G935T,309.8857984,7975,5195672000
Male,UT,3.55E+14,SM-G930V,610.4679644,7972,3980495000
Female,CT,3.58E+14,SM-G930T,566.1470291,7949,5657897000
Female,MI,9.90E+14,SM-G920P,414.7816983,7949,6385099000
Female,HI,3.54E+14,SAMSUNG-SM-G928A,739.4821812,7927,2899420000
Male,OH,3.56E+14,SM-G935P,586.8693401,7924,4679609000
Female,MD,3.54E+14,SAMSUNG-SM-G928A,773.708738,7924,2714119000
Male,TX,3.53E+14,SM-G900T1,192.635725,7923,3092350000
Female,FL,3.56E+14,SM-G935T,37.17381442,7923,5203618000
Female,GA,3.57E+14,SAMSUNG-SM-G935A,594.8479946,7918,3033356000
Female,NJ,3.58E+14,SAMSUNG-SM-G935A,170.2357362,7913,1375634000
Female,ID,3.55E+14,SM-G930V,192.4795735,7867,2386387000
Male,MD,3.57E+14,SAMSUNG-SM-G935A,96.98981121,7856,4954809000
Female,CA,3.56E+14,SM-G935T,741.89058,7849,6132742000
Female,CA,3.57E+14,SAMSUNG-SM-G930A,257.3808168,7842,-646238000
Female,UT,9.90E+14,SM-G928P,818.0437832,7836,8563427000
Male,NY,3.56E+14,SM-G935P,522.0912587,7812,9190937000
Female,CA,3.57E+14,SM-G935T,822.7650953,7795,4028244000
Female,CO,3.58E+14,SAMSUNG-SM-G935A,21.44978052,7787,7398722000
Female,NJ,3.56E+14,SAMSUNG-SM-G930A,19.32031171,7781,-199885000
Male,IA,9.90E+14,SM-G920P,237.2079073,7759,5074915000
Female,WA,9.90E+14,SM-N920V,927.6066823,7751,5182409000
Female,TX,3.56E+14,SM-G935P,922.1300727,7748,8668734000
Female,TX,3.54E+14,SAMSUNG-SM-G900A,708.864409,7738,4958985000
Female,FL,3.58E+14,SM-G930T,285.5200405,7732,4589328000
Male,CA,3.56E+14,SM-G935P,792.1543943,7703,8433212000
Female,TX,3.56E+14,SM-G930P,565.3222771,7700,6122537000
Male,FL,3.58E+14,SM-G935T,842.2564087,7696,5595251000
Female,FL,9.90E+14,SM-G920P,885.9844755,7693,6256307000
Male,TX,9.90E+14,SM-N920V,612.2998933,7688,5235360000
Female,NV,9.90E+14,SM-G920P,345.6398413,7652,7711371000
Male,NJ,3.58E+14,SAMSUNG-SM-G920A,506.3362596,7650,5974189000
Male,NC,3.56E+14,SM-G935P,915.3243841,7649,5148955000
Female,CA,3.58E+14,SM-G930T,1.161159699,7627,5869691000
Male,PA,3.53E+14,SM-G930V,869.9956812,7622,2355339000
Female,PA,3.58E+14,SM-G930T,424.2719722,7618,4799108000
Male,NY,3.55E+14,SM-G935V,640.2626275,7607,5798745000
Female,TX,3.54E+14,SM-G928T,772.1095185,7604,4592648000
Female,NY,9.90E+14,SM-G928V,210.2748581,7589,6045189000
Male,NY,9.90E+14,SM-N920V,374.8643898,7586,5337241000
Female,WI,3.58E+14,SAMSUNG-SM-G935A,134.2833415,7583,4225483000
Female,pa,3.55E+14,SM-G930V,480.0353018,7577,4332690000
Male,VA,9.90E+14,SM-N900V,777.7725816,7568,3555026000
Female,MN,3.58E+14,SM-G930T,473.9137729,7558,4559708000
Female,CA,3.56E+14,SM-G935P,396.0232907,7558,4946706000
Male,PA,9.90E+14,SM-G920P,104.4480039,7538,4149347000
Male,CO,9.90E+14,SM-G900V,291.965503,7538,2291951000
Male,CA,9.90E+14,SM-G925P,947.725142,7535,5500843000
Female,NY,9.90E+14,SM-G928P,225.109409,7524,5706413000
Female,MN,3.58E+14,SM-G935V,362.4212855,7519,2388487000
Female,TX,3.58E+14,SM-G930T,49.62895598,7516,3669391000
Female,IL,3.57E+14,SAMSUNG-SM-G930A,368.4467944,7471,5408890000
Female,TN,3.52E+14,SAMSUNG-SM-G935A,216.8163556,7465,5414558000
Male,FL,9.90E+14,SM-N900V,810.3037463,7459,3314219000
Female,TX,3.60E+14,SM-G925T,123.5376747,7459,8301286000
Male,TN,9.90E+14,SM-G920V,619.913887,7430,6894403000
Male,GA,3.55E+14,SM-G930V,664.3451525,7427,4469964000
Male,CA,3.56E+14,SM-G935P,274.2377983,7402,4088233000
Female,PA,3.55E+14,SM-G930V,130.3385855,7395,1898660000
Male,CA,3.55E+14,SM-G935V,104.0139839,7389,4487037000
Male,ID,3.55E+14,SM-G935V,515.2711943,7380,2972255000
Male,CA,3.53E+14,SAMSUNG-SM-G900A,166.9675314,7376,2138220000
Female,WY,3.58E+14,SAMSUNG-SM-G935A,729.3211208,7364,6225108000
Male,WI,3.57E+14,SAMSUNG-SM-G930A,243.9424329,7351,2553333000
Female,MI,3.55E+14,SM-G930V,737.1129006,7350,1930200000
Female,NC,9.90E+14,SM-G928P,170.4365381,7345,3544171000
Female,CA,3.58E+14,SM-G930T,143.9783853,7340,4384375000
Female,CT,3.55E+14,SM-G935V,473.9689677,7337,2124203000
Male,AZ,9.90E+14,SM-G928P,847.5410416,7331,7400379000
Female,AZ,3.57E+14,SAMSUNG-SM-G930A,379.8499417,7306,6910449000
Female,FL,3.54E+14,SAMSUNG-SM-G928A,790.8940294,7305,4869254000
Male,FL,3.58E+14,SM-G935T,516.3570749,7298,6137413000
Male,FL,3.58E+14,SM-G935T,272.2201052,7277,7363886000
Female,MO,3.57E+14,SM-G935T,744.7660654,7267,6981018000
Male,VA,3.57E+14,SAMSUNG-SM-G935A,632.7019976,7264,4359141000
Male,NE,9.90E+14,SM-G928V,91.80414025,7259,6338651000
Female,VA,3.58E+14,SM-G935V,645.7287775,7242,1526709000
Male,VA,3.56E+14,SM-G935P,939.0030912,7241,6243437000
Female,NC,3.55E+14,SM-G930V,594.34297,7240,1528794000
Male,NC,9.90E+14,SM-G928V,808.3131706,7228,3832606000
Male,MD,9.90E+14,SM-G928P,635.5435832,7223,7689000000
Female,MA,9.90E+14,SM-G925P,881.7813633,7223,8635173000
Male,NC,3.54E+14,SAMSUNG-SM-G900A,711.8558769,7213,2967384000
Male,PA,3.55E+14,SM-G935V,696.9549502,7203,7047966000
Male,NY,9.90E+14,SM-G920V,770.7240358,7199,3856792000
Female,MD,3.57E+14,SAMSUNG-SM-G935A,821.1998895,7187,7067694000
Female,AZ,9.90E+14,SM-G925P,682.5324816,7180,5448747000
Male,CA,3.55E+14,SM-G935V,216.56503,7177,4928002000
Male,TX,9.90E+14,SM-G928P,775.144972,7154,2846947000
Female,TX,9.90E+14,SM-G920P,118.2192333,7154,6938217000
Male,NH,3.57E+14,SAMSUNG-SM-G935A,617.7784502,7146,4565718000
Male,SC,9.90E+14,SM-N920V,62.98220854,7142,4839392000
Female,TX,3.56E+14,SM-G930P,943.9776185,7139,3581611000
Female,GA,3.56E+14,SM-G935P,152.3894301,7135,2992329000
Female,CO,3.53E+14,SM-G930V,200.9750448,7129,4208397000
Male,FL,3.57E+14,SAMSUNG-SM-G930A,824.1129775,7116,3847230000
Male,FL,3.58E+14,SM-N900T,659.6508874,7115,1469046000
Male,CA,3.58E+14,SM-G935T,709.006987,7103,5409510000
Female,TX,3.58E+14,SM-G930T,11.20139625,7093,6117560000
Male,IL,3.54E+14,SAMSUNG-SM-G928A,791.8903419,7092,8162860000
Male,KY,9.90E+14,SM-N920P,101.0391408,7089,6206552000
Female,TX,3.56E+14,SAMSUNG-SM-G930A,796.822472,7088,1104224000
Female,NJ,3.58E+14,SM-G935T,642.761873,7068,4230174000
Male,OR,9.90E+14,SM-G928V,545.4950064,7060,4940672000
Male,VA,3.58E+14,SM-G930T,58.64297028,7058,3304230000
Male,CA,3.52E+14,SM-G900T,156.5908941,7047,671620000
Male,MD,3.58E+14,SAMSUNG-SM-G935A,566.2384656,7038,2043957000
Male,FL,3.57E+14,SM-G935T,107.563287,7013,3370727000
Female,TX,3.55E+14,SM-G930V,44.42247881,7009,5309532000
Male,PA,3.59E+14,SM-G920T,72.62569159,7006,6253383000
Female,TX,3.56E+14,SM-G935P,231.1609038,7001,5761974000
Male,CO,3.56E+14,SM-G930P,449.400794,6996,4989212000
Female,OR,3.59E+14,SAMSUNG-SM-N900A,343.5312815,6971,1844372000
Male,WA,3.58E+14,SM-G935T,755.492976,6958,6023290000
Female,NE,3.55E+14,SM-G930V,848.9538312,6957,5478893000
Female,GA,3.60E+14,SM-G930T,723.3967572,6954,4538502000
Female,NY,3.52E+14,SAMSUNG-SM-G935A,56.11379328,6914,4808918000
Male,OH,3.56E+14,SM-G930P,722.9940451,6906,7026331000
Female,FL,3.56E+14,SM-G935T,760.436267,6902,4823143000
Female,MD,3.58E+14,SM-G930T,329.1939787,6889,3157136000
Female,NY,3.58E+14,SM-G935V,814.5333159,6863,2181296000
Female,AZ,3.53E+14,SM-G930V,271.3115744,6855,5876781000
Female,VA,3.56E+14,SM-G935P,835.0893411,6832,5859872000
Female,AR,3.58E+14,SM-G930T,777.5655345,6809,3913779000
Male,NC,3.58E+14,SM-G935T,132.955403,6801,5237497000
Male,MI,9.90E+14,SM-N920V,362.9484593,6801,4610009000
Female,FL,3.56E+14,SAMSUNG-SM-G930A,877.8238059,6798,7380727000
Male,PA,3.53E+14,SAMSUNG-SM-G900A,98.65661098,6794,5830928000
Male,AZ,3.58E+14,SM-N900T,578.4901881,6794,2267659000
Male,TX,9.90E+14,SM-G920P,934.2097599,6793,6713736000
Male,VA,3.53E+14,SAMSUNG-SM-G900A,110.2330689,6789,5381086000
Male,AZ,3.58E+14,SM-G930T,333.6553266,6786,5860062000
Female,TX,3.58E+14,SAMSUNG-SM-G925A,636.0574539,6781,7854186000
Male,TX,9.90E+14,SM-G900V,474.2882046,6779,4309973000
Male,IA,3.58E+14,SM-G955U,92.41751072,6768,1615741000
Female,CA,3.58E+14,SM-G935V,185.9775379,6756,3817608000
Female,MA,3.54E+14,SM-N920T,37.97447118,6756,7882169000
Female,TN,9.90E+14,SM-G920P,362.4744843,6753,4893603000
Male,FL,3.57E+14,SAMSUNG-SM-G935A,987.5736526,6744,6599679000
Female,CA,3.58E+14,SM-G930T,566.9793814,6738,5617035000
Male,IN,3.58E+14,SM-G955U,224.5083375,6730,2142772000
Female,CA,3.52E+14,SAMSUNG-SM-G935A,402.4794238,6729,5162520000
Female,TX,3.58E+14,SM-G935V,633.6360804,6725,2976401000
Female,WA,3.56E+14,SM-G935T,526.7957041,6722,7289537000
Female,TX,3.56E+14,SM-G935T,346.1032926,6721,5330114000
Male,NJ,3.52E+14,SM-G900T,635.6987342,6714,2991515000
Female,CO,3.59E+14,SAMSUNG-SM-N900A,673.4818746,6705,1693999000
Male,MN,3.58E+14,SM-G955U,56.79599857,6703,1816103000
Female,ID,9.90E+14,SM-N920V,721.6872256,6701,3124471000
Male,GA,9.90E+14,SM-G900V,198.7212034,6700,1618120000
Male,OH,9.90E+14,SM-G928P,484.411528,6697,6046556000
Male,FL,3.56E+14,SM-G935P,560.5271665,6684,4606200000
Female,MO,3.56E+14,SM-G935P,681.743905,6665,7103432000
Female,CA,3.54E+14,SM-N920T,995.8558736,6657,6827661000
Male,NY,3.52E+14,SM-G900T,393.3311283,6655,8702669000
Male,WI,3.55E+14,SM-G930V,208.2950692,6640,2371192000
Female,CA,3.57E+14,SM-G935P,97.00188692,6631,6910703000
Male,GA,3.58E+14,SM-G955U,860.5389922,6615,2014244000
Female,PA,9.90E+14,SM-N920V,598.0587598,6611,5363375000
Male,CA,9.90E+14,SM-G928P,486.0227389,6604,6120149000
Female,FL,3.57E+14,SM-G935T,55.80337507,6595,6086861000
Male,MA,3.58E+14,SM-G935T,394.683832,6594,3081397000
Male,NY,3.57E+14,SM-G935T,173.1960144,6583,7975653000
Female,OR,3.59E+14,SM-G920T,624.4320261,6580,5302042000
Male,WI,3.58E+14,SM-G935V,288.6522581,6569,1635476000
Female,CA,3.54E+14,SM-N920T,946.10751,6565,3602324000
Female,CA,3.56E+14,SM-G935T,78.44900586,6564,6083172000
Male,FL,3.57E+14,SM-G935P,859.9751175,6550,8892950000
Female,NC,3.55E+14,SM-G930V,186.5343401,6542,4260526000
Male,KY,3.54E+14,SAMSUNG-SM-N920A,683.0862941,6534,6429034000
Female,TX,9.90E+14,SM-G928V,310.7367622,6531,5233887000
Male,TX,3.58E+14,SAMSUNG-SM-G925A,982.1440232,6527,3272933000
Male,VA,3.56E+14,SM-G930P,543.3197417,6508,5588922000
Female,TX,9.90E+14,SM-N910P,163.0920942,6491,7765905000
Male,OH,3.55E+14,SM-G930V,98.99314646,6490,2526076000
Female,AK,3.53E+14,SAMSUNG-SM-G900A,650.3128575,6486,1455207000
Male,PA,3.58E+14,SM-G935T,406.4764462,6479,5314545000
Female,TX,3.54E+14,SAMSUNG-SM-N910A,603.7112867,6476,2776632000
Female,TX,3.58E+14,SAMSUNG-SM-G925A,98.48848033,6475,3933250000
Male,OR,9.90E+14,SM-N920P,67.27639381,6466,5941754000
Female,IN,3.58E+14,SM-G935V,164.5770969,6443,7748068000
Female,NY,3.54E+14,SAMSUNG-SM-G900A,366.6305609,6442,9050081000
Male,GA,3.56E+14,SM-G935P,474.0931868,6436,7322443000
Male,TX,3.54E+14,SM-N920T,191.0647322,6434,6206951000
Male,NJ,9.90E+14,SM-N920P,102.7542071,6432,8432179000
Female,KS,9.90E+14,SM-G920P,198.8737358,6431,5712765000
Female,CA,9.90E+14,SM-N920V,628.7831646,6425,9277805000
Female,NH,3.54E+14,SAMSUNG-SM-G928A,850.0052144,6423,6536428000
Female,IL,3.54E+14,SAMSUNG-SM-G928A,609.8953864,6406,1899176000
Female,MO,9.90E+14,SM-N920P,690.7477829,6397,6817506000
Female,CA,3.55E+14,SM-G935V,968.9785312,6386,6713275000
Female,IA,9.90E+14,SM-G900V,844.3691767,6381,5897208000
Female,TX,3.54E+14,SAMSUNG-SM-N920A,967.3418628,6376,988254000
Male,NC,3.54E+14,SM-G928T,943.140859,6369,3918860000
Male,NE,3.58E+14,SM-G955U,335.2462046,6358,1745495000
Male,VA,9.90E+14,SM-G928P,20.83676266,6353,6335248000
Female,TX,3.58E+14,SAMSUNG-SM-G925A,238.9868483,6343,3822414000
Male,CA,3.58E+14,SM-G935T,462.8517982,6330,4762999000
Male,IL,9.90E+14,SM-N920P,711.2106628,6327,5072495000
Male,WI,9.90E+14,SM-G925P,410.4687874,6323,4223728000
Female,NJ,9.90E+14,SM-G920P,446.0078341,6323,4154822000
Male,MI,9.90E+14,SM-G925V,903.1831871,6313,1219612000
Male,NY,3.54E+14,SM-G928T,86.13243515,6303,5154723000
Female,CA,3.55E+14,SM-G930V,983.0444873,6301,4483425000
Male,WI,9.90E+14,SM-G925P,292.7588856,6293,6559139000
Male,IL,3.53E+14,SAMSUNG-SM-G900A,421.8802345,6291,915623000
Female,SD,3.55E+14,SM-G930V,227.8077211,6280,3307152000
Male,NY,3.56E+14,SM-G930P,966.6717071,6277,4467943000
Male,CA,3.56E+14,SM-N910T,873.1496533,6273,9244238000
Female,MI,9.90E+14,SM-G925V,423.7411102,6268,4660313000
Male,KS,3.53E+14,SM-G930V,420.5696236,6264,748930000
Male,VA,3.56E+14,SM-G930P,921.1703524,6263,4242660000
Male,PA,3.55E+14,SM-G930V,343.6209017,6258,3650769000
Female,MO,3.55E+14,SM-G930V,983.6300049,6246,5782570000
Male,FL,3.58E+14,SM-G930T,210.8136386,6225,4304608000
Male,KS,9.90E+14,SM-N920P,699.8331965,6222,6222263000
Female,AL,3.52E+14,SAMSUNG-SM-G935A,205.2043748,6219,1361861000
Female,AL,9.90E+14,SM-G900P,557.7482852,6207,2901088000
Female,LA,3.59E+14,SAMSUNG-SM-G920A,409.0788945,6207,5770113000
Male,ky,9.90E+14,SM-G920V,439.1730084,6201,5519774000
Male,MA,3.57E+14,SM-G935T,960.2522884,6197,4364823000
Male,TX,3.59E+14,SM-N915T,554.0297135,6192,6762792000
Female,NV,3.58E+14,SM-G955U,187.7137286,6192,1456150000
Female,IN,9.90E+14,SM-N920P,604.6206757,6190,9947363000
Male,CA,3.56E+14,SM-G935P,979.582353,6185,4728010000
Female,NC,3.58E+14,SM-G935T,416.521128,6173,5985014000
Female,CA,3.54E+14,SM-G928T,431.1540532,6171,3639250000
Male,MA,3.56E+14,SM-G930P,374.8960395,6170,5726105000
Female,WA,9.90E+14,SM-N920V,674.7139798,6160,7418222000
Female,GA,3.57E+14,SAMSUNG-SM-G930A,410.8525743,6160,1890643000
Female,NV,3.56E+14,SM-G930P,396.3378009,6157,7716948000
Male,FL,3.55E+14,SM-G935V,201.3787112,6157,4188960000
Male,CO,3.58E+14,SM-G935V,808.2201254,6156,1941626000
Male,NY,3.55E+14,SM-G930V,278.4128366,6149,5743413000
Male,OR,3.54E+14,SAMSUNG-SM-N910A,331.8358495,6148,3136667000
Female,TN,9.90E+14,SM-G920P,369.2939354,6147,7125387000
Male,MA,3.57E+14,SM-G935T,528.4035063,6142,6025755000
Female,WI,9.90E+14,SM-G928P,601.6200954,6129,6306671000
Male,DC,3.58E+14,SM-G950U,763.3952653,6114,2339179000
Male,FL,9.90E+14,SM-N920V,311.4131584,6099,1616920000
Male,MN,9.90E+14,SM-N900P,404.5674996,6096,3408045000
Female,TX,9.90E+14,SM-N900P,202.1673374,6091,5380682000
Male,AZ,3.55E+14,SM-G930V,421.3320991,6063,2510254000
Male,KY,3.54E+14,SM-G928T,55.11447801,6051,3248547000
Female,FL,3.52E+14,SAMSUNG-SM-G935A,940.0687916,6038,6450112000
Female,MO,9.90E+14,SM-N920V,121.4965897,6032,3025303000
Female,VA,3.56E+14,SM-G935P,309.8377177,6030,3087263000
Male,TX,3.52E+14,SAMSUNG-SM-G935A,805.4834306,6028,1325759000
Male,VA,3.57E+14,SM-G935T,101.3721329,6011,3482283000
Female,VA,3.56E+14,SM-G935T,312.96751,6010,7007838000
Female,OH,R52GC0Y0FBK,SM-T810,451.8740071,6005,2219217000
Female,NE,3.58E+14,SM-G955U,513.7196687,6000,2214474000
Male,MO,3.55E+14,SM-G930V,948.5768695,5995,1632427000
Female,NJ,3.57E+14,SAMSUNG-SM-G930A,152.8209642,5988,699574000
Male,MN,3.54E+14,SM-G928T,780.5360172,5987,3605921000
Male,CA,3.57E+14,SM-G935T,551.703603,5986,6298808000
Male,VA,9.90E+14,SM-N920P,847.036827,5978,6095687000
Female,CO,3.58E+14,SAMSUNG-SM-G935A,280.5535246,5940,3424935000
Male,FL,3.55E+14,SM-G935V,295.2017687,5937,7358850000
Female,OK,3.57E+14,SM-G935T,595.1506138,5934,6856790000
Female,CO,3.58E+14,SM-G950U,356.2343525,5929,1649183000
Male,OR,3.55E+14,SAMSUNG-SM-N915A,99.61976999,5912,7896345000
Female,IL,3.58E+14,SM-G955U,924.6545469,5901,1907465000
Female,CA,9.90E+14,SM-N920V,117.5125519,5891,9281560000
Male,CA,3.55E+14,SM-G935V,349.8820979,5889,5456460000
Female,AL,3.59E+14,SAMSUNG-SM-G920A,310.5906361,5889,6916657000
Male,WA,9.90E+14,SM-G928P,744.1937023,5852,4295052000
Female,IA,3.56E+14,SM-G930P,619.1449932,5841,5904885000
Male,MA,9.90E+14,SM-N920V,340.9101131,5832,3493423000
Female,TX,3.58E+14,SM-G930T,491.5047179,5829,5409920000
Female,VA,3.58E+14,SM-G950U,988.3907793,5825,1495671000
Male,KS,3.58E+14,SM-G930T,573.8784046,5823,2656048000
Female,TX,3.53E+14,SM-G900T,355.5736287,5823,4800297000
Male,HI,3.59E+14,SAMSUNG-SM-G920A,992.6547271,5818,4823933000
Female,CA,3.58E+14,SM-G955U,299.72448,5804,1213700000
Female,TX,3.58E+14,SM-G930T,580.1061666,5802,3971019000
Female,FL,9.90E+14,SM-N920P,776.5210764,5802,8428452000
Male,NC,3.53E+14,SAMSUNG-SM-G900A,800.7819798,5786,8811931000
Male,OH,3.54E+14,SM-G928T,694.9588335,5776,1804867000
Female,OR,3.53E+14,SM-G930V,99.79542395,5776,3804333000
Male,NC,3.58E+14,SM-G935V,726.9195281,5776,3938703000
Male,TX,3.58E+14,SM-G935V,700.3935058,5772,2955856000
Male,MI,3.58E+14,SM-G935V,592.6236404,5767,5110151000
Male,NM,3.58E+14,SM-G950U,566.4412425,5758,1847384000
Female,NE,3.55E+14,SM-G930V,126.8793278,5748,4572960000
Female,MA,3.59E+14,SM-G920T,396.0959061,5740,8228115000
Male,MA,3.57E+14,SAMSUNG-SM-G935A,778.7458407,5733,6063709000
Female,PA,3.58E+14,SM-G935V,912.2478509,5731,2854023000
Female,TX,3.59E+14,SM-N915T,914.6468938,5722,3145986000
Female,FL,9.90E+14,SM-G928P,109.523829,5717,4358636000
Male,OH,3.58E+14,SM-G955U,130.0688976,5713,1593041000
Female,IN,9.90E+14,SM-G928V,876.4148736,5702,5181680000
Female,TX,3.58E+14,SM-G930T,553.2306303,5698,5103388000
Female,TX,3.55E+14,SM-G930V,118.9826045,5678,4481822000
Female,TN,3.59E+14,SAMSUNG-SM-N900A,392.4693071,5675,2098155000
Male,AR,3.58E+14,SAMSUNG-SM-G935A,79.90794279,5671,5670066000
Male,MA,3.57E+14,SM-G935T,374.7544469,5671,3545549000
Female,CA,3.56E+14,SAMSUNG-SM-N915A,474.4487816,5636,5833637000
Male,OH,9.90E+14,SM-G900V,336.688985,5631,3747559000
Female,CT,3.58E+14,SM-N900T,907.9182717,5628,5738987000
Female,CO,3.52E+14,SAMSUNG-SM-G935A,708.7173119,5619,3435910000
Male,VA,9.90E+14,SM-G925P,188.2857391,5617,5278835000
Male,NM,3.59E+14,SAMSUNG-SM-N900A,997.6185033,5615,1396181000
Female,CA,3.58E+14,SM-G930T,276.6568811,5603,4512565000
Male,OH,9.90E+14,SM-N920P,699.1953578,5600,6665673000
Female,AL,3.58E+14,SM-G950U,11.7255702,5598,1920812000
Female,TX,3.56E+14,SM-G930P,624.8605237,5593,9608280000
Male,IL,3.56E+14,SM-G935P,716.0569927,5588,3005247000
Male,LA,3.56E+14,SM-G935P,496.2431219,5575,2501641000
Male,VA,3.57E+14,SAMSUNG-SM-G930A,127.5788749,5570,2442421000
Male,TX,3.59E+14,SM-G920T,120.6829276,5560,3267910000
Female,IL,3.58E+14,SM-G935V,789.2251264,5558,7084766000
Female,WY,9.90E+14,SM-G928V,164.4205437,5548,4047585000
Female,NY,9.90E+14,SM-N900V,74.59070662,5547,2139432000
Male,FL,9.90E+14,SM-G928V,259.0863163,5545,1316599000
Female,WI,9.90E+14,SM-G928P,809.1133676,5545,10083264000
Male,MD,9.90E+14,SM-G928V,377.416315,5539,4600274000
Female,MD,3.59E+14,SAMSUNG-SM-N900A,123.6999994,5536,2469844000
Female,MA,3.57E+14,SAMSUNG-SM-G930A,765.7447325,5533,3301867000
Male,CO,3.54E+14,SM-N920T,834.120843,5531,5653979000
Female,MO,3.60E+14,SM-G925T,904.5013265,5524,3486445000
Male,NY,9.90E+14,SM-G928V,961.5626406,5523,2116504000
Male,WA,3.53E+14,SM-G930V,655.3177579,5522,1459586000
Male,MI,9.90E+14,SM-G928V,421.9152355,5507,4550422000
Female,NJ,3.55E+14,SM-G930V,29.4921405,5506,5382142000
